Su,Nu,Lu (km),Cl (km),Lur,Rb,ρ,Lb,A (sq. km),P (km),Ff,Re,Rc,Cc,Rt,Rf,Rw,Fs,Dd,C,Di,If,Lg (km),H (km),S (°),Rh,Rn,M,FFR
4,114,240.81,46.746,2.7315678685989453,3.465441176470588,2.8501158570525997,49.397,299.189,119.298,0.122615246133938,0.39511843814882286,0.26417344542318094,1.9594382676404531,0.7711780583077671,0.3918422773223357,0.9463327732453388,0.38103005123851474,0.8048758477083048,1.2424276400481709,0.47340226734770147,0.30668188549293834,0.6212138200240854,2.478,24.737,0.050164989776707095,1.9944823506211795,0.14326116909855552,T
4,45,146.913,43.957,1.9280062519163723,2.8,2.150424968629731,46.894,196.955,109.709,0.08956378779668925,0.33769239908386056,0.20563278695719656,2.220905015835178,0.32814080886709385,0.4006690426491901,0.9373693862754298,0.22847858647914496,0.7459216572313473,1.340623362125884,0.30630373077944084,0.1704271258683995,0.670311681062942,3.312,26.63,0.07062737237173199,2.470492528750222,0.23599718509260464,T
4,110,439.176,61.168,2.8396278326176265,3.55,1.8946336280820693,63.868,849.916,185.964,0.20835761225429997,0.5150622791165846,0.3088361365580658,1.812224970710677,0.48934202318728354,0.3289238777397776,0.9577253084486753,0.12942455489718982,0.5167287120138931,1.935251470936481,0.2504690602400859,0.0668773835549963,0.9676257354682406,3.145,24.188,0.049242187010709586,1.6251117992836939,0.10787794062575692,T
4,115,339.748,58.737,2.58278676086595,3.4348684210526317,2.6389779608212356,61.429,484.144,135.418,0.12830029737197446,0.4041744823900672,0.3317658094929839,1.7484787241616147,0.6719933834497629,0.43374588311745854,0.9561770499275587,0.23753263491853663,0.7017498925939389,1.4250091244098568,0.33848617210403004,0.16668850104163838,0.7125045622049284,2.426,21.483,0.039492747725015875,1.702445239432896,0.11025632672490004,T
3,14,43.331,27.669,1.1477121514377386,3.166666666666667,4.18205174419452,28.034,57.034,57.519,0.07257109787939857,0.30397432724639156,0.21663121790680226,2.1637926690467952,0.17385559554234253,0.4810410473061076,0.9869800955982022,0.24546761580811446,0.7597398043272434,1.3162401052364359,0.3230943204634096,0.18649151840273184,0.6581200526182178,2.778,24.164,0.09909395733751873,2.110557176421082,0.36784539687153783,T
2,8,35.772,16.418,1.4600096279485593,7.0,4.794488930758361,19.174,51.75,41.365,0.14076183121007554,0.4233480009235952,0.3800617474512592,1.633612640876988,0.16922519037833916,0.39690559651879603,0.8562636904141024,0.15458937198067632,0.6912463768115942,1.4466621938946662,0.22363860002236385,0.10685934327522228,0.7233310969473331,2.454,25.061,0.12798581412329196,1.6963186086956523,0.3411295813973743,T
3,19,54.879,21.393,1.4574745233000304,3.75,2.6953299969921516,23.447,88.396,50.435,0.16078963389761403,0.45246405411030344,0.43669520864007805,1.524006966593029,0.2775850104094379,0.4241697234063646,0.9123981746065596,0.21494185257251458,0.6208312593330014,1.6107436359991985,0.34621622114105577,0.13344262101596255,0.8053718179995991,2.192,25.426,0.09348743975775153,1.3608621204579392,0.2331439999475119,T
3,9,19.012,11.267,1.8843209687448845,2.5,1.3394255196264846,14.838,29.663,32.888,0.13473000883823047,0.4141781924671469,0.34462756241225406,1.7155412363075446,0.18243736317197762,0.34258696180977866,0.7593341420676641,0.3034082864174224,0.6409331490408927,1.5602251209762255,0.47338523038081215,0.19446442845861966,0.7801125604881127,3.382,28.1315,0.22792829222267155,2.1676359100562994,0.6209634915921395,T
3,11,20.892,11.887,2.0031903711219954,3.0,1.8179008013782854,14.375,32.97,29.563,0.1595523629489603,0.45071984420763384,0.47405835416876635,1.462716847261544,0.2706085309339377,0.4020904509014647,0.8269217391304348,0.33363663936912347,0.6336669699727024,1.5781160252728317,0.5265173272065863,0.21141451834090771,0.7890580126364158,0.96,22.556,0.06678260869565217,0.6083202911737943,0.16719056270739907,T
2,3,6.117,4.662,2.54962275101567,2.0,0.7844297746414751,6.776,7.449,13.984,0.1622374754150004,0.4544966109184723,0.4786796972895136,1.4556389297248875,0.14302059496567507,0.33338100686498856,0.6880165289256198,0.4027386226339106,0.8211840515505437,1.2177538008827855,0.49043648847474247,0.33072253385040024,0.6088769004413929,1.448,18.19,0.21369539551357733,1.1890745066451873,0.5305417611684025,T
